accuracy,f1,false_continue_rate,false_end_rate,fn,fp,group,n,precision,recall,threshold,tn,tp
0.8175,0.8215158924205379,0.10638297872340426,0.25,20,53,overall,400,0.7601809954751131,0.8936170212765957,0.44999999999999996,159,168
0.7142857142857143,0.6666666666666666,0.2,0.3333333333333333,1,3,language=vie,14,0.5714285714285714,0.8,0.44999999999999996,6,4
0.7692307692307693,0.7272727272727273,0.0,0.3333333333333333,0,3,language=fra,13,0.5714285714285714,1.0,0.44999999999999996,6,4
0.8235294117647058,0.8421052631578947,0.0,0.3333333333333333,0,3,language=por,17,0.7272727272727273,1.0,0.44999999999999996,6,8
0.8,0.8571428571428571,0.0,0.5,0,2,language=nor,10,0.75,1.0,0.44999999999999996,2,6
0.6923076923076923,0.6,0.25,0.3333333333333333,1,3,language=ara,13,0.5,0.75,0.44999999999999996,6,3
1.0,1.0,0.0,0.0,0,0,language=ukr,9,1.0,1.0,0.44999999999999996,5,4
0.8333333333333334,0.8,0.0,0.25,0,2,language=mar,12,0.6666666666666666,1.0,0.44999999999999996,6,4
0.8333333333333334,0.8421052631578947,0.0,0.3,0,3,language=hin,18,0.7272727272727273,1.0,0.44999999999999996,7,8
0.8557692307692307,0.8672566371681416,0.07547169811320754,0.21568627450980393,4,11,language=eng,104,0.8166666666666667,0.9245283018867925,0.44999999999999996,40,49
0.5833333333333334,0.5454545454545454,0.5,0.3333333333333333,3,2,language=ben,12,0.6,0.5,0.44999999999999996,4,3
0.8461538461538461,0.9090909090909091,0.0,0.6666666666666666,0,2,language=tur,13,0.8333333333333334,1.0,0.44999999999999996,1,10
0.9285714285714286,0.9090909090909091,0.16666666666666666,0.0,1,0,language=dan,14,1.0,0.8333333333333334,0.44999999999999996,8,5
0.8947368421052632,0.875,0.0,0.16666666666666666,0,2,language=deu,19,0.7777777777777778,1.0,0.44999999999999996,10,7
0.7142857142857143,0.7,0.3,0.2727272727272727,3,3,language=nld,21,0.7,0.7,0.44999999999999996,8,7
0.5555555555555556,0.5555555555555556,0.375,0.5,3,5,language=spa,18,0.5,0.625,0.44999999999999996,5,5
0.7058823529411765,0.7058823529411765,0.25,0.3333333333333333,2,3,language=zho,17,0.6666666666666666,0.75,0.44999999999999996,6,6
0.7777777777777778,0.6666666666666666,0.3333333333333333,0.16666666666666666,1,1,language=kor,9,0.6666666666666666,0.6666666666666666,0.44999999999999996,5,2
0.9,0.9333333333333333,0.0,0.3333333333333333,0,1,language=ind,10,0.875,1.0,0.44999999999999996,2,7
0.9090909090909091,0.9090909090909091,0.0,0.16666666666666666,0,1,language=jpn,11,0.8333333333333334,1.0,0.44999999999999996,5,5
0.9473684210526315,0.9411764705882353,0.0,0.09090909090909091,0,1,language=rus,19,0.8888888888888888,1.0,0.44999999999999996,10,8
0.8888888888888888,0.9090909090909091,0.0,0.25,0,1,language=ita,9,0.8333333333333334,1.0,0.44999999999999996,3,5
0.8888888888888888,0.9230769230769231,0.0,0.3333333333333333,0,1,language=fin,9,0.8571428571428571,1.0,0.44999999999999996,2,6
0.8888888888888888,0.8,0.3333333333333333,0.0,1,0,language=pol,9,1.0,0.6666666666666666,0.44999999999999996,6,2
0.7631578947368421,0.7662337662337663,0.15714285714285714,0.3048780487804878,11,25,midfiller=False,152,0.7023809523809523,0.8428571428571429,0.44999999999999996,57,59
0.8282208588957055,0.8292682926829268,0.10526315789473684,0.22988505747126436,8,20,midfiller=True,163,0.7727272727272727,0.8947368421052632,0.44999999999999996,67,68
0.8941176470588236,0.9010989010989011,0.023809523809523808,0.18604651162790697,1,8,midfiller=None,85,0.8367346938775511,0.9761904761904762,0.44999999999999996,35,41
0.7929292929292929,0.8610169491525423,0.13013698630136986,0.4230769230769231,19,22,endfiller=False,198,0.8523489932885906,0.8698630136986302,0.44999999999999996,30,127
0.8034188034188035,0.0,0.0,0.19658119658119658,0,23,endfiller=True,117,0.0,0.0,0.44999999999999996,94,0
0.8941176470588236,0.9010989010989011,0.023809523809523808,0.18604651162790697,1,8,endfiller=None,85,0.8367346938775511,0.9761904761904762,0.44999999999999996,35,41
0.7975460122699386,0.7987804878048781,0.13245033112582782,0.26285714285714284,20,46,synthetic=True,326,0.7401129943502824,0.8675496688741722,0.44999999999999996,129,131
0.9054054054054054,0.9135802469135802,0.0,0.1891891891891892,0,7,synthetic=False,74,0.8409090909090909,1.0,0.44999999999999996,30,37
