accuracy,f1,false_continue_rate,false_end_rate,fn,fp,precision,recall,threshold,tn,tp
0.7775,0.8008948545861297,0.047872340425531915,0.37735849056603776,9,80,0.6911196911196911,0.9521276595744681,0.3,132,179
0.785,0.7990654205607477,0.09042553191489362,0.32547169811320753,17,69,0.7125,0.9095744680851063,0.35,143,171
0.7975,0.8076009501187649,0.09574468085106383,0.2971698113207547,18,63,0.7296137339055794,0.9042553191489362,0.39999999999999997,149,170
0.8175,0.8215158924205379,0.10638297872340426,0.25,20,53,0.7601809954751131,0.8936170212765957,0.44999999999999996,159,168
0.815,0.8131313131313131,0.14361702127659576,0.22169811320754718,27,47,0.7740384615384616,0.8563829787234043,0.49999999999999994,165,161
0.815,0.8072916666666666,0.17553191489361702,0.19339622641509435,33,41,0.7908163265306123,0.824468085106383,0.5499999999999999,171,155
0.8125,0.7967479674796748,0.21808510638297873,0.16037735849056603,41,34,0.8121546961325967,0.7819148936170213,0.5999999999999999,178,147
0.7925,0.7661971830985915,0.2765957446808511,0.14622641509433962,52,31,0.8143712574850299,0.723404255319149,0.6499999999999999,181,136
0.7875,0.7477744807121661,0.32978723404255317,0.10849056603773585,62,23,0.8456375838926175,0.6702127659574468,0.7,189,126
